id,clave,nombre,region_id,created_at,updated_at
1,001,ACACOYAGUA,10,"2019-06-26 14:03:47","2019-06-26 14:03:47"
2,002,ACALA,4,"2019-06-26 14:03:47","2019-06-26 14:03:47"
3,003,ACAPETAHUA,10,"2019-06-26 14:03:47","2019-06-26 14:03:47"
4,004,ALTAMIRANO,12,"2019-06-26 14:03:47","2019-06-26 14:03:47"
5,005,AMATÁN,8,"2019-06-26 14:03:47","2019-06-26 14:03:47"
6,006,"AMATENANGO DE LA FRONTERA",11,"2019-06-26 14:03:47","2019-06-26 14:03:47"
7,007,"AMATENANGO DEL VALLE",5,"2019-06-26 14:03:47","2019-06-26 14:03:47"
8,008,"ANGEL ALBINO CORZO",6,"2019-06-26 14:03:47","2019-06-26 14:03:47"
9,009,ARRIAGA,9,"2019-06-26 14:03:47","2019-06-26 14:03:47"
10,010,"BEJUCAL DE OCAMPO",11,"2019-06-26 14:03:47","2019-06-26 14:03:47"
11,011,"BELLA VISTA",11,"2019-06-26 14:03:47","2019-06-26 14:03:47"
12,012,BERRIOZÁBAL,1,"2019-06-26 14:03:47","2019-06-26 14:03:47"
13,013,BOCHIL,7,"2019-06-26 14:03:47","2019-06-26 14:03:47"
14,014,"EL BOSQUE",7,"2019-06-26 14:03:47","2019-06-26 14:03:47"
15,015,CACAHOATÁN,10,"2019-06-26 14:03:47","2019-06-26 14:03:47"
16,016,CATAZAJÁ,13,"2019-06-26 14:03:47","2019-06-26 14:03:47"
17,017,CINTALAPA,2,"2019-06-26 14:03:47","2019-06-26 14:03:47"
18,018,COAPILLA,3,"2019-06-26 14:03:47","2019-06-26 14:03:47"
19,019,"COMITÁN DE DOMÍNGUEZ",15,"2019-06-26 14:03:47","2019-06-26 14:03:47"
20,020,"LA CONCORDIA",6,"2019-06-26 14:03:47","2019-06-26 14:03:47"
21,021,COPAINALÁ,3,"2019-06-26 14:03:47","2019-06-26 14:03:47"
22,022,CHALCHIHUITÁN,5,"2019-06-26 14:03:47","2019-06-26 14:03:47"
23,023,CHAMULA,5,"2019-06-26 14:03:47","2019-06-26 14:03:47"
24,024,CHANAL,5,"2019-06-26 14:03:47","2019-06-26 14:03:47"
25,025,CHAPULTENANGO,8,"2019-06-26 14:03:47","2019-06-26 14:03:47"
26,026,CHENALHÓ,5,"2019-06-26 14:03:47","2019-06-26 14:03:47"
27,027,"CHIAPA DE CORZO",1,"2019-06-26 14:03:47","2019-06-26 14:03:47"
28,028,CHIAPILLA,4,"2019-06-26 14:03:47","2019-06-26 14:03:47"
29,029,CHICOASÉN,3,"2019-06-26 14:03:47","2019-06-26 14:03:47"
30,030,CHICOMUSELO,11,"2019-06-26 14:03:47","2019-06-26 14:03:47"
31,031,CHILÓN,14,"2019-06-26 14:03:47","2019-06-26 14:03:47"
32,032,ESCUINTLA,10,"2019-06-26 14:03:47","2019-06-26 14:03:47"
33,033,"FRANCISCO LEÓN",3,"2019-06-26 14:03:47","2019-06-26 14:03:47"
34,034,"FRONTERA COMALAPA",11,"2019-06-26 14:03:47","2019-06-26 14:03:47"
35,035,"FRONTERA HIDALGO",10,"2019-06-26 14:03:47","2019-06-26 14:03:47"
36,036,"LA GRANDEZA",11,"2019-06-26 14:03:47","2019-06-26 14:03:47"
37,037,HUEHUETÁN,10,"2019-06-26 14:03:47","2019-06-26 14:03:47"
38,038,HUIXTÁN,5,"2019-06-26 14:03:47","2019-06-26 14:03:47"
39,039,HUITIUPÁN,7,"2019-06-26 14:03:47","2019-06-26 14:03:47"
40,040,HUIXTLA,10,"2019-06-26 14:03:47","2019-06-26 14:03:47"
41,041,"LA INDEPENDENCIA",15,"2019-06-26 14:03:47","2019-06-26 14:03:47"
42,042,IXHUATÁN,8,"2019-06-26 14:03:47","2019-06-26 14:03:47"
43,043,IXTACOMITÁN,8,"2019-06-26 14:03:47","2019-06-26 14:03:47"
