id,clave,nombre,created_at,updated_at
1,I,METROPOLITANA,"2019-06-26 14:03:33","2019-06-26 14:03:33"
2,II,"VALLES ZOQUE","2019-06-26 14:03:33","2019-06-26 14:03:33"
3,III,MEZCALAPA,"2019-06-26 14:03:33","2019-06-26 14:03:33"
4,IV,"DE LOS LLANOS","2019-06-26 14:03:33","2019-06-26 14:03:33"
5,V,"ALTOS TSOTSIL TSELTAL","2019-06-26 14:03:33","2019-06-26 14:03:33"
6,VI,FRAILESCA,"2019-06-26 14:03:33","2019-06-26 14:03:33"
7,VII,"DE LOS BOSQUES","2019-06-26 14:03:33","2019-06-26 14:03:33"
8,VIII,NORTE,"2019-06-26 14:03:33","2019-06-26 14:03:33"
9,IX,"ITSMO COSTA","2019-06-26 14:03:33","2019-06-26 14:03:33"
10,X,SOCONUSCO,"2019-06-26 14:03:33","2019-06-26 14:03:33"
11,XI,"SIERRA MARISCAL","2019-06-26 14:03:33","2019-06-26 14:03:33"
12,XII,"SELVA LACANDONA","2019-06-26 14:03:33","2019-06-26 14:03:33"
13,XIII,MAYA,"2019-06-26 14:03:33","2019-06-26 14:03:33"
14,XIV,"TULIJÁ TSELTAL CHOL","2019-06-26 14:03:33","2019-06-26 14:03:33"
15,XV,"MESETA COMITECA TOJOLABAL","2019-06-26 14:03:33","2019-06-26 14:03:33"
16,000,"Cobertura Estatal","2019-06-26 14:03:33","2019-06-26 14:03:33"
